BCR,CD40,IL21_4,STAT,Syk,PI3K,BTK,CBM,TRAF6,NEMO_IKK,RelA_p50,IRF4,RAF,Erk,BCL6,Blimp1,cMyc,AID,BCL2,ID
1,0,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,15
1,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,15
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,15
0,0,0,1,0,0,0,0,0,0,2,2,0,0,1,0,0,1,0,16
0,0,1,1,0,0,0,0,0,0,2,2,0,0,1,0,0,1,0,16
0,1,0,1,0,0,0,0,1,2,2,2,0,0,1,0,0,1,0,16
0,1,1,1,0,0,0,0,1,2,2,2,0,0,1,0,0,1,0,16
1,0,0,1,1,0,1,1,0,1,2,2,1,0,1,0,0,1,0,16
1,0,1,1,1,0,1,1,0,1,2,2,1,0,1,0,0,1,0,16
1,1,0,1,1,0,1,1,1,2,2,2,1,0,1,0,0,1,0,16
1,1,1,1,1,0,1,1,1,2,2,2,1,0,1,0,0,1,0,16
0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,17
0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,17
0,1,0,1,0,0,0,0,1,2,2,2,0,0,0,1,0,0,1,17
0,1,1,1,0,0,0,0,1,2,2,2,0,0,0,1,0,0,1,17
1,0,0,1,1,0,1,1,0,1,2,2,1,0,0,1,0,0,1,17
1,0,1,1,1,0,1,1,0,1,2,2,1,0,0,1,0,0,1,17
1,1,0,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,17
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,17
1,0,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,18
1,0,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,18
1,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,18
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19
